,valores_combo,niveles,valor_split,num_models,num_models2,niveles_mediana,niveles_std,num_models_mediana,num_models_std,num_models2_mediana,num_models2_std,cycles_mean,cycles_median,cycles_std,max_num_cycles,max_num_models
34,alpha14-split10,"9, 10, 11, 12, 13, 14, 15",10,189,210,"4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15","3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",84,63,105,84,9,4,3,9,189
35,alpha14-split12,"5, 6, 7, 8, 9, 10, 11, 12",12,125,150,"4, 5, 6, 7, 8, 9, 10, 11, 12","5, 6, 7, 8, 9, 10, 11, 12",100,125,125,150,5,4,5,5,125
36,alpha14-split14,"3, 4, 5, 6, 7, 8, 9, 10, 11",14,87,116,"3, 4, 5, 6, 7, 8, 9, 10, 11","4, 5, 6, 7, 8, 9, 10, 11",87,116,116,145,3,3,4,4,116
37,alpha14-split16,"3, 4, 5, 6, 7, 8, 9, 10",16,99,132,"3, 4, 5, 6, 7, 8, 9, 10","3, 4, 5, 6, 7, 8, 9, 10",99,99,132,132,3,3,3,3,99
38,alpha14-split18,"4, 5, 6, 7, 8, 9",18,148,185,"2, 3, 4, 5, 6, 7, 8, 9","3, 4, 5, 6, 7, 8, 9",74,111,111,148,4,2,3,4,148
39,alpha14-split2,"16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60",2,80,85,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60","6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60",45,30,50,35,16,9,6,16,80
40,alpha14-split20,"4, 5, 6, 7, 8",20,164,205,"3, 4, 5, 6, 7, 8","2, 3, 4, 5, 6, 7, 8",123,82,164,123,4,3,2,4,164
41,alpha14-split22,"4, 5, 6, 7",22,180,225,"3, 4, 5, 6, 7","3, 4, 5, 6, 7",135,135,180,180,4,3,3,4,180
42,alpha14-split24,"3, 4, 5, 6, 7",24,147,196,"2, 3, 4, 5, 6, 7","3, 4, 5, 6, 7",98,147,147,196,3,2,3,3,147
43,alpha14-split26,"4, 5, 6",26,212,265,"3, 4, 5, 6","2, 3, 4, 5, 6",159,106,212,159,4,3,2,4,212
44,alpha14-split28,"2, 3, 4, 5, 6",28,114,171,"2, 3, 4, 5, 6","2, 3, 4, 5, 6",114,114,171,171,2,2,2,2,114
45,alpha14-split30,"2, 3, 4, 5",30,122,183,"2, 3, 4, 5","2, 3, 4, 5",122,122,183,183,2,2,2,2,122
