n_trees,model,accuracy_mean,accuracy_std,Dataset
50,Incremental_Mixed_Bagging,0.766,0.0283627298482435,credit-g
100,Grouped_Mixed_Bagging,0.754,0.0259058123036339,credit-g
100,Incremental_Mixed_Bagging,0.767,0.0279085809185793,credit-g
150,Grouped_Mixed_Bagging,0.765,0.0324037034920393,credit-g
150,Incremental_Mixed_Bagging,0.76,0.0262466929133727,credit-g
200,Grouped_Mixed_Bagging,0.772,0.0293636207273936,credit-g
200,Incremental_Mixed_Bagging,0.765,0.0291547594742265,credit-g
20,Grouped_Mixed_Bagging,0.7457142857142858,0.0874947358312826,liver-disorders
20,Incremental_Mixed_Bagging,0.7585714285714286,0.1069763550471721,liver-disorders
30,Grouped_Mixed_Bagging,0.7523809523809524,0.100915436985729,liver-disorders
30,Incremental_Mixed_Bagging,0.759047619047619,0.0959812276934345,liver-disorders
