y,dataset,Hostility,kDN,DS,DCP,TD_U,TD_P,MV,CB,CLD,N1,N2,LSC,LSradius,H,U,F1,F2,F3,F4
1,bupa,0.33,0.365,0.675333333333333,0.363672764227642,0.693333333333333,0.6525,0,0.613526570048309,0.413390849335729,0.33575,0.458812025744106,0.990125628140703,0.880589971785879,0.005,0.990175,0.965833333333333,0.692391829083435,0.80031546726382,0.927859920200315
dataset,bupa,0.411594202898551,0.408695652173913,0.654685990338164,0.421649581713208,0.694041867954912,0.702898550724638,0.115579710144928,0.658195057060842,0.473679878941363,0.401690821256039,0.462278888531056,0.990531765105722,0.882377707058737,0.00579710144927536,0.990586206896552,0.963285024154589,0.689437577588909,0.800214829498568,0.931683206152801
0,contraceptive_LS,0.396396396396396,0.516516516516517,0.922255588922256,0.50796465836501,0.564564564564565,0.62042042042042,0.348336594911937,0.73696682464455,0.549721846597546,0.515515515515515,0.509560113400546,0.997051268135606,0.955853745500909,0.003003003003003,0.997060123186249,0.363697030363697,0.666666666666667,0.729920281344898,0.894151460686016
1,contraceptive_LS,0.301369863013699,0.329941291585127,0.801913459447706,0.331021978934537,0.558862910701411,0.699412915851272,0,0.596366508688784,0.35623769922614,0.337769080234834,0.43286089601469,0.994313341775066,0.934282736971247,0.00195694716242661,0.994324470264743,0.439878234398782,0.666316335989541,0.743084441349172,0.89019407331002
dataset,contraceptive_LS,0.338862559241706,0.403554502369668,0.849394418114797,0.400834671174286,0.561112496882015,0.66824644549763,0.137436120978288,0.651840330031521,0.432576823722205,0.407898894154818,0.46312255405911,0.995393589971819,0.942793573275012,0.0023696682464455,0.995403821476664,0.409820958399158,0.666454558875184,0.737890525138955,0.89175545956145
0,contraceptive_NL,0.162162162162162,0.291573926868044,0.702780255147543,0.247435498390959,0.495744879827925,0.690381558028617,0,0.564102564102564,0.29552305038529,0.276444091149973,0.399300311981553,0.992891355199336,0.909123499882225,0.00158982511923688,0.992902656701404,0.417417417417417,0.660869753306728,0.737474679614127,0.88193395980588
1,contraceptive_NL,0.486486486486487,0.481081081081081,0.823994726433751,0.467378163627367,0.615968910086557,0.867867867867868,0.470588235294118,0.769230769230769,0.558300336500514,0.489289289289289,0.480228704878075,0.99537790802851,0.954678266538816,0.003003003003003,0.995391788184581,0.363697030363697,0.666552266552267,0.730560286442854,0.89449124499807
dataset,contraceptive_NL,0.274428274428274,0.357172557172557,0.744739110592769,0.32356949789587,0.537360890302067,0.751819126819127,0.16289592760181,0.635108481262327,0.386484418655944,0.350121275121275,0.427313986445734,0.993752085024819,0.924892457571045,0.00207900207900208,0.993764279137888,0.398821898821899,0.662836777122491,0.735081235824071,0.886280712372407
0,contraceptive_NS,0.351351351351351,0.4181240063593,0.786247139188316,0.342051884252276,0.41570470726481,0.689348171701113,0,0.632163742690058,0.412821372828019,0.411340752517223,0.459029501532935,0.99691148623333,0.931786352515593,0.00158982511923688,0.996916396430097,0.443031266560678,0.666666666666667,0.741739818907628,0.886688031103511
1,contraceptive_NS,0.36986301369863,0.438747553816047,0.957183716479216,0.421038425038516,0.551433676508126,0.771428571428571,0.187599364069952,0.701169590643275,0.502508501736201,0.449184605348989,0.475439899985178,0.997290971182994,0.953144253727197,0.00195694716242661,0.99729627260925,0.459882583170254,0.666360796137292,0.74866674115554,0.898116979128155
dataset,contraceptive_NS,0.359649122807018,0.427368421052632,0.862868710237131,0.377457254727512,0.476544622425629,0.726140350877193,0.0840905921401277,0.66309531137786,0.453023234996511,0.428304093567251,0.466385390663721,0.997081588697609,0.94135993805869,0.00175438596491228,0.997086674261279,0.450584795321637,0.666529561543412,0.744844781424017,0.891811006928593
0,credit-g,0.443333333333333,0.566,0.917777777777778,0.569774530093226,0.544313725490196,0.866666666666667,0.571428571428571,0.8,0.562104830203521,0.556055555555556,0.501706411514338,0.99659977703456,0.808001463074808,0.00333333333333333,0.996611111111111,0.477894736842105,0.666149570995588,0.758010021098703,0.987448192074485
1,credit-g,0.118571428571429,0.212857142857143,0.693366174055829,0.244189084325668,0.529075630252101,0.621904761904762,0,0.533333333333333,0.239902193674776,0.196945578231292,0.411154552628448,0.990198242387084,0.792340782700929,0.00142857142857143,0.990212244897959,0.474586466165414,0.666458495741956,0.757696091103572,0.993371675093124
